index,disease_name,description,Possible Steps,image_url
0, Scab,"
Scab disease, also known as scab or common scab, is a plant disease caused by various species of bacteria in the genus Streptomyces, particularly Streptomyces scabies. 
It affects a wide range of crops, including potatoes, beets, carrots, radishes, and other root vegetables. Symptoms of scab disease include raised, corky lesions or scabs on the surface of tubers or roots. These lesions are typically brown, rough, and can vary in size. While scab disease primarily affects the appearance of the crop, severe infections can lead to reduced yield and quality.
Scab bacteria can survive in the soil for several years, making it difficult to control once established. However, certain cultural practices can help manage the disease, such as crop rotation, planting disease-resistant varieties, and maintaining proper soil pH and moisture levels.
","Choose resistant varieties when possible.
Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Black Rot,"Black rot is a destructive bacterial disease that primarily affects cruciferous vegetables, including cabbage, broccoli, cauliflower, kale, and related crops. It is caused by the bacterium Xanthomonas campestris pv. campestris.

The disease manifests as dark, V-shaped lesions on the leaves, starting from the leaf margin and extending inward towards the center of the leaf. As the infection progresses, the lesions may enlarge and coalesce, leading to the wilting and death of the affected leaves. The veins within the lesions often remain intact and appear as black streaks, giving the disease its characteristic name.

In addition to foliage symptoms, black rot can also affect the heads or curds of cabbage and cauliflower, causing them to rot from the inside out. Infected plants may exhibit stunted growth, reduced yield, and poor quality of produce.","Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them, too.You are better off pruning during the dormant season. This will minimize the odds that fire blight will infect your tree and produce dead tissue that can easily be infected by Botryosphaeria.You should also take precautions if the bark is damaged by hail, or branches break during a windstorm. Using a copper-based fungicide will protect against both black rot and fire blight.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2, Cedar rust,"The most common types of cedar rust include cedar-apple rust, cedar-hawthorn rust, and cedar-quince rust, each of which involves a specific combination of host plants. These fungi have complex life cycles that involve multiple stages and host plants.

The disease typically begins its life cycle on cedar or juniper trees, where specialized structures called telia produce spores during wet weather conditions. These spores are then spread by wind to nearby susceptible hosts, such as apple trees or other members of the rose family","Choose resistant cultivars when available.
Rake up and dispose of fallen leaves and other debris from under trees.
Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.
Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.As with most fruit, apples produce best when grown in full sun, which means six or more hours of direct summer Sun daily.The best exposure for apples is a north side of a house, tree line, or rise rather than the south.Apple trees need well-drained soil, but should be able to retain some moisture.","Apples Are Nutritious. 
Apples May Be Good for Weight Loss.
Apples May Be Good for Your Heart. 
They're Linked to a Lower Risk of Diabetes. 
They May Have Prebiotic Effects and Promote Good Gut Bacteria.
Substances in Apples May Help Prevent Cancer.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves,There is no leaf in the given image,please reupload image with leaf,https://cdn.onlinewebfonts.com/svg/img_332817.png
5, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Deep, low pH mulch like peat moss, pine needles or well aged sawdust conserves water and minimizes soil water fluctuations. Water blueberry plants during the day. Keep the soil moist but not soggy. Give them at least 1"" per week during growing season and up to 4"" per week during fruit ripening.The blueberry is a shallow-rooted plant. Therefore, it requires a soil that holds moisture, but also drains well and doesn�t stay wet. Don�t plant blueberries in sites that have heavy, clayey soils that stay wet.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6, Powdery Mildew,"
Powdery mildew is a fungal disease that affects a wide range of plants, including ornamentals, vegetables, fruits, and trees. It is caused by various species of fungi belonging to the genera Podosphaera and Erysiphe.

The characteristic symptom of powdery mildew is the development of a white to grayish powdery growth on the surfaces of leaves, stems, flowers, and sometimes fruits. This powdery substance consists of fungal spores and mycelium, which can spread rapidly under favorable environmental conditions.

In addition to the powdery growth, affected plant parts may exhibit other symptoms such as leaf distortion, curling, yellowing, and premature leaf drop. Severe infections can weaken plants, reduce photosynthesis, and lead to decreased yield and quality of fruits or flowers.","Disinfect the cutting edges, then prune out and discard the diseased portions of the plant immediately. At the same time, apply fungicides to protect the remaining leaves on the fruit tree. You'll need to repeat the fungicide applications according to label instructions to protect the trees over the entire season.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Packed with nutrients.
Rich in antioxidants and anti-inflammatory compounds.
Can boost exercise recovery.
May benefit heart health.
May improve symptoms of arthritis and gout.
May improve sleep quality.
Easy to add to your diet.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8, Cercospora Leaf Spot | Gray Leaf Spot,"Cercospora Leaf Spot:
Cercospora leaf spot is caused by fungi in the genus Cercospora, with various species targeting different host plants. The disease typically manifests as small, circular to irregularly shaped spots on the leaves, initially appearing as water-soaked lesions that later turn tan to brown with gray centers. As the spots enlarge, they may merge, leading to extensive leaf damage. Severe infections can result in premature defoliation, reduced yield, and overall plant stress.
Gray Leaf Spot:
Gray leaf spot is caused by the fungus Cercospora zeae-maydis, primarily affecting corn (maize) plants. Initial symptoms include small, rectangular lesions with gray centers and dark margins on the leaves. As the disease progresses, the lesions may elongate and coalesce, forming large, irregularly shaped spots. Severely affected leaves may exhibit extensive blighting, leading to reduced photosynthesis, yield loss, and increased susceptibility to other pathogens.","Irrigate deeply, but infrequently.
Avoid using post-emergent weed killers on the lawn while the disease is active.
Avoid medium to high nitrogen fertilizer levels.
Improve air circulation and light level on lawn.
Mow at the proper height and only mow when the grass is dry.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9, Common Rust,"Common rust typically appears as small, circular to elongated pustules or lesions on the leaves, stems, and sometimes other above-ground plant parts. These pustules initially appear pale green to yellow but gradually turn into raised, dusty-orange to brown structures containing masses of fungal spores as the disease progresses. Severe infections can cause extensive leaf damage, leading to reduced photosynthesis, stunted growth, and decreased yield.","To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance. In either case, no sweet corn is completely resistant. If the corn begins to show symptoms of infection, immediately spray with a fungicide.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
10, Northern Leaf Blight,"The characteristic symptoms of northern leaf blight typically appear on the leaves of affected corn plants. These symptoms include the development of elongated, cigar-shaped lesions that start as small, water-soaked spots and gradually expand into larger, tan to grayish-brown lesions. The lesions often have wavy margins and may extend along the length of the leaf, causing significant damage. Severe infections can lead to extensive leaf blighting, premature leaf senescence, and reduced photosynthetic capacity, ultimately resulting in decreased yield.

Northern leaf blight thrives under conditions of high humidity, moderate temperatures (between 22-28°C or 72-82°F), and prolonged leaf wetness periods. The fungal spores can overwinter in crop debris or on alternate hosts and spread via wind, rain, or contaminated equipment.","Fungicide applications reduced Northern Corn Leaf Blight damage and protected yield. Fungicide value was higher in reducing yield in susceptible corn hybrids. Fungicide were most effective if they were applied at disease onset. Disease onset varied in growth stages, and so the best stage to apply fungicides.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Corn has several health benefits. Because of the high fiber content, it can aid with digestion. It also contains valuable B vitamins, which are important to your overall health. Corn also provides our bodies with essential minerals such as zinc, magnesium, copper, iron and manganese.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12, Black Rot,"The disease typically starts with small, water-soaked lesions on the leaves, which gradually enlarge and turn brown to black as the infection progresses. The lesions often have a V-shaped appearance, with the point of the V extending towards the center of the leaf. As the disease advances, the lesions may merge, causing extensive leaf damage. Infected leaves may become necrotic and develop a papery texture.

Aside from foliar symptoms, black rot can also affect other plant parts, including stems and heads. On stems, the disease manifests as dark, sunken lesions, which can girdle the stem and lead to wilting and death of the plant. In cabbage and related crops, black rot can cause internal rotting of the head, rendering it unmarketable.",Mancozeb is available as BONIDE MANCOZEB FLOWABLE fungicide. It contains 37% Mancozeb and should be very effective for controlling black rot. Nova (myclobutanil) is available in IMMUNOX FUNGICIDE. It is 1.55 % myclobutanil and should be effective for controlling black rot.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13, Esca | Black Measles,"Esca:
Esca is a complex disease syndrome that affects grapevines, particularly older vines. It is caused by a combination of fungi, including species of Phaeomoniella, Phaeoacremonium, and Fomitiporia. Esca is characterized by a range of symptoms, including:
Leaf Symptoms: Yellowing or browning of leaves, often accompanied by vein discoloration and irregular necrotic spots.
Stem Symptoms: Dark streaking or discoloration of the wood, which may extend into the trunk and arms of the vine.
Trunk Symptoms: Formation of wedge-shaped necrotic lesions on the trunk, often accompanied by white or brown fungal growth around the margins.
Foliar Symptoms: Development of distinctive tiger stripe patterns on leaves characterized by interveinal chlorosis and necrosis.
Black Measles:
Black measles, also known as black rot of grapes, is caused by the fungus Guignardia bidwellii. It primarily affects grapevines and is characterized by the development of small, black, raised lesions on grape berries. These lesions resemble measles spots, hence the name black measles. As the disease progresses, the lesions may enlarge and coalesce, leading to significant fruit rot and loss.In addition to fruit symptoms, black measles can also cause leaf spots and defoliation in severe cases. The fungus overwinters in infected plant debris and can spread via wind, rain, and contaminated pruning tools.Management of black measles involves cultural practices, such as sanitation and canopy management, to reduce disease pressure. Fungicide treatments may also be used to protect grape clusters from infection during the growing season.","Till date there is no effective method to control this disease. Remove the infected berries, leaves and trunk and destroy them. Protect the prune wounds to minimize fungal infection using wound sealant (5% boric acid in acrylic paint) or essential oil or suitable fungicides.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14, Leaf Blight | Isariopsis Leaf Spot,"The fungus is an obligate pathogen which can attack all green parts of the vine.
Symptoms of this disease are frequently confused with those of powdery mildew. Infected leaves develop pale yellow-green lesions which gradually turn brown. Severely infected leaves often drop prematurely.Infected petioles, tendrils, and shoots often curl, develop a shepherd's crook, and eventually turn brown and die.
Young berries are highly susceptible to infection and are often covered with white fruiting structures of the fungus. Infected older berries of white cultivars may turn dull gray-green, whereas those of black cultivars turn pinkish red.","Apply dormant sprays to reduce inoculum levels.
Cut it out. 
Open up that canopy.
Don't let down your defenses.
Scout early, scout often.
Use protectant and systemic fungicides.
Consider fungicide resistance.
Watch the weather.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing browning or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Packed With Nutrients, Especially Vitamins C and K.
High Antioxidant Contents May Prevent Chronic Diseases.
Plant Compounds May Protect Against Certain Types of Cancer. 
Beneficial for Heart Health in Various Impressive Ways.
May Decrease Blood Sugar Levels and Protect Against Diabetes.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16, Haunglongbing | Citrus Greening,"Citrus greening disease is a disease of citrus caused by a vector-transmitted pathogen. HLB is distinguished by the common symptoms of yellowing of the veins and adjacent tissues; followed by splotchy mottling of the entire leaf, premature defoliation, dieback of twigs, decay of feeder rootlets and lateral roots, and decline in vigor, ultimately followed by the death of the entire plant. Affected trees have stunted growth, bear multiple off-season flowers (most of which fall off), and produce small, irregularly shaped fruit with a thick, pale peel that remains green at the bottom and tastes very bitter. Common symptoms can often be mistaken for nutrient deficiencies; however, the distinguishing factor between nutrient deficiencies is the pattern of symmetry. Nutrient deficiencies tend to be symmetrical along the leaf vein margin, while HLB has an asymmetrical yellowing around the vein. The most noticeable symptom of HLB is greening and stunting of the fruit, especially after ripening","The only way to prevent the spread of Citrus Greening Disease is to control ACP(Asian Citrus Psyllid). Since citrus is such a popular and widely-planted garden tree, homeowners are on the front lines of this important battle.Spray the lemon tree with Neem oil insecticide, both the top and undersides of the foliage. You may need to repeat in 10-14 days, depending upon the extent of the infestation. Follow up by treating the mold growth with liquid copper fungicide.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17, Bacterial Spot,"Bacterial spot is an important disease of peaches, nectarines, apricots, and plums caused by Xanthomonas campestris pv. pruni. Symptoms of this disease include fruit spots, leaf spots, and twig cankers. Fruit symptoms include pitting, cracking, gumming, and watersoaked tissue, which can make the fruit more susceptible to brown rot, rhizopus, and other fungal infections. Severe leaf spot infections can cause early defoliation. Severe defoliation can result in reduced fruit size, and sunburn and cracking of fruit. Early defoliated trees are reduced in vigor and winter hardiness.","Fruit symptoms of bacterial spot may be confused with peach scab, caused by the fungus Cladosporium carpophyllium, however scab spots are more circular, have a dark brown/greenish, fuzzy appearance, and do not pit the fruit surface, although skin cracking can occur. Scab does not cause leaf symptoms but can cause spots on twigs. Initial fruit spots of bacterial spot may be superficial but develop into craters.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Packed With Nutrients and Antioxidants. 
May Aid Digestion. 
May Improve Heart Health. 
May Protect Your Skin.
May Prevent Certain Types of Cancer.
May Reduce Allergy Symptoms.
Widely Available and Easy to Add to Your Diet.",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19, Bacterial Spot,"Bacterial spot is an important disease of peaches, nectarines, apricots, and plums caused by Xanthomonas campestris pv. pruni. Symptoms of this disease include fruit spots, leaf spots, and twig cankers. Fruit symptoms include pitting, cracking, gumming, and watersoaked tissue, which can make the fruit more susceptible to brown rot, rhizopus, and other fungal infections. Severe leaf spot infections can cause early defoliation. Severe defoliation can result in reduced fruit size, and sunburn and cracking of fruit. Early defoliated trees are reduced in vigor and winter hardiness.","Select resistant varieties
Purchase disease-free seed and transplants.
Treat seeds by soaking them for 2 minutes in a 10% chlorine bleach solution (1 part bleach; 9 parts water). Thoroughly rinse seeds and dry them before planting.
Mulch plants deeply with a thick organic material like newspaper covered with straw or grass clippings.
Avoid overhead watering.
Remove and discard badly infected plant parts and all debris at the end of the season.
Spray every 10-14 days with fixed copper (organic fungicide) to slow down the spread of infection.
Rotate peppers to a different location if infections are severe and cover the soil with black plastic mulch or black landscape fabric prior to planting.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Red, Orange, and Yellow Bell Peppers are full of great health benefits�they're packed with vitamins and low in calories! They are an excellent source of vitamin A, vitamin C, and potassium. Bell Peppers also contain a healthy dose of fiber, folate, and iron.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21, Early Blight,"Early blight can cause significant yield losses if not managed properly. The defoliation reduces the photosynthetic capacity of the plant, leading to smaller, fewer fruits or tubers. Severe infestations can lead to complete crop failure, especially in susceptible varieties.

By employing a combination of cultural, biological, and chemical management strategies, farmers and gardeners can effectively control early blight and mitigate its impact on crop yields.",Treatment of early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22, Late Blight,"Early blight initially manifests as small, dark brown to black spots on the older leaves. These spots typically have a concentric ring pattern, resembling a target or bullseye.
As the disease progresses, the spots enlarge and merge, causing significant leaf blight and defoliation.
On fruits, especially tomatoes, early blight causes leathery, sunken spots that are often concentrated at the stem end.
These spots can become covered with a dark, velvety fungal growth in humid conditions.",The severe late blight can be effectively managed with prophylactic spray of mancozeb at 0.25% followed by cymoxanil+mancozeb or dimethomorph+mancozeb at 0.3% at the onset of disease and one more spray of mancozeb at 0.25% seven days after application of systemic fungicides in West Bengal ,https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Packed With Nutrients. Share on Pinterest.
Contain Antioxidants. Potatoes are rich in compounds like flavonoids, carotenoids and phenolic acids (4).
May Improve Blood Sugar Control.
May Improve Digestive Health.
Naturally Gluten-Free.
Incredibly Filling.
Extremely Versatile.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
